family,genus,species_common_name,name_for_analysis,Fruit ID,1.5 or 0.5,height mm,depth mm,width mm,volume,kgmm2,wet.weight.grams
UK,NA,Blueberry,UK sp 1.,7,0.5,7,7,8,205.2512,0.070210828,0.33
UK,NA,Blueberry,UK sp 1.,7,0.5,6,7,7,153.9384,0.052658121,0.26
UK,NA,Blueberry,UK sp 1.,7,0.5,6,8,8,201.0624,0.052658121,0.27
UK,NA,Blueberry,UK sp 1.,7,0.5,7,7,7,179.5948,0.035105414,0.24
UK,NA,Blueberry,UK sp 1.,7,0.5,7,7,7,179.5948,0.017552707,0.25
UK,NA,Blueberry,UK sp 1.,7,0.5,7,7,6,153.9384,0.035105414,0.24
UK,NA,Blueberry,UK sp 1.,7,0.5,6,7,7,153.9384,0.035105414,0.28
UK,NA,Blueberry,UK sp 1.,7,0.5,5,4,4,41.888,0.017552707,0.27
UK,NA,Blueberry,UK sp 1.,7,0.5,5,4,5,52.36,0.070210828,0.19
UK,NA,Blueberry,UK sp 1.,7,0.5,7,7,7,179.5948,0.052658121,0.23
UK,NA,Fofona_ratsy,UK sp 2,14,1.5,41,38,36,29367.6768,5.265812102,30.38
UK,NA,Fofona_ratsy,UK sp 2,14,1.5,47,46,45,50941.044,3.071723726,48.89
UK,NA,Fofona_ratsy,UK sp 2,14,1.5,33,32,32,17693.4912,1.965903185,17.74
UK,NA,Fofona_ratsy,UK sp 2,14,1.5,35,33,33,19957.014,1.895692357,19.35
UK,NA,Fofona_ratsy,UK sp 2,14,1.5,33,32,32,17693.4912,2.773327707,16.82
UK,NA,Jellybean,UK sp 3,22,0.5,8,8,8,268.0832,0.070210828,0.43
UK,NA,Jellybean,UK sp 3,22,0.5,8,8,8,268.0832,0.017552707,0.34
UK,NA,Jellybean,UK sp 3,22,0.5,8,8,8,268.0832,0.368606847,0.49
UK,NA,Jellybean,UK sp 3,22,0.5,8,8,7,234.5728,0.368606847,0.4
UK,NA,Jellybean,UK sp 3,22,0.5,8,8,8,268.0832,0.386159554,0.45
UK,NA,Kabokala,UK sp 4,23,1.5,61,54,49,84512.1816,3.879148248,80.4
UK,NA,Kabokala,UK sp 4,23,1.5,54,47,44,58471.4592,3.896700955,57.28
UK,NA,Kabokala,UK sp 4,23,1.5,51,45,42,50469.804,3.387672452,50.19
UK,NA,Kabokala,UK sp 4,23,1.5,55,50,43,61915.7,3.791384713,47.97
UK,NA,Kabokala,UK sp 4,23,1.5,50,44,42,48380.64,3.721173885,64.96
UK,NA,Kililo,UK sp 5,24,0.5,23,22,22,5828.7152,0.52658121,6.35
UK,NA,Kililo,UK sp 5,24,0.5,21,21,21,4849.0596,0.35105414,4.96
UK,NA,Kililo,UK sp 5,24,0.5,22,21,21,5079.9672,0.263290605,5.23
UK,NA,Kililo,UK sp 5,24,0.5,22,22,22,5575.2928,0.70210828,6.07
UK,NA,Kililo,UK sp 5,24,0.5,21,20,20,4398.24,0.667002866,4.96
UK,NA,Lamoty,UK sp 6,25,0.5,18,17,17,2723.7672,0.140421656,3.26
UK,NA,Lamoty,UK sp 6,25,0.5,18,17,15,2403.324,0.087763535,3.05
UK,NA,Lamoty,UK sp 6,25,0.5,19,18,16,2865.1392,0.070210828,3.61
UK,NA,Lamoty,UK sp 6,25,0.5,19,19,17,3213.3332,0.070210828,4.05
UK,NA,Lamoty,UK sp 6,25,0.5,18,17,17,2723.7672,0.087763535,3.11
UK,NA,Little_green_guy,UK sp 7,27,0.5,7,5,5,91.63,0.614344745,0.11
UK,NA,Little_green_guy,UK sp 7,27,0.5,7,5,5,91.63,0.35105414,0.1
UK,NA,Little_green_guy,UK sp 7,27,0.5,7,6,6,131.9472,0.17552707,0.11
UK,NA,Little_green_guy,UK sp 7,27,0.5,6.5,6,5,102.102,0.315948726,0.13
UK,NA,Little_green_guy,UK sp 7,27,0.5,7,6,6,131.9472,0.386159554,0.11
UK,NA,Little_green_guy,UK sp 7,27,0.5,6,5.5,5,86.394,0.263290605,0.12
UK,NA,Little_green_guy,UK sp 7,27,0.5,6.5,5.5,5.5,102.95285,0.315948726,0.13
UK,NA,Little_green_guy,UK sp 7,27,0.5,6,5.5,5.5,95.0334,0.315948726,0.12
UK,NA,Little_green_guy,UK sp 7,27,0.5,6,5.5,5.5,95.0334,0.210632484,0.14
UK,NA,Little_green_guy,UK sp 7,27,0.5,6,5.5,5.5,95.0334,0.245737898,0.13
Rubiaceae,NA,Looks_like_Mapouria,Mapouria sp,28,0.5,12,10,9,565.488,0.001755271,0.78
Rubiaceae,NA,Looks_like_Mapouria,Mapouria sp,28,0.5,10,10,10,523.6,0.001755271,0.72
Rubiaceae,NA,Looks_like_Mapouria,Mapouria sp,28,0.5,10,9,8,376.992,0.001755271,0.45
Rubiaceae,NA,Looks_like_Mapouria,Mapouria sp,28,0.5,8,8,8,268.0832,0.008776354,0.36
Rubiaceae,NA,Looks_like_Mapouria,Mapouria sp,28,0.5,12,11,9,622.0368,0.005265812,0.9
Rubiaceae,NA,Looks_like_Mapouria,Mapouria sp,28,0.5,8,8,7,234.5728,0.003510541,0.45
Rubiaceae,NA,Looks_like_Mapouria,Mapouria sp,28,0.5,10,10,10,523.6,0.005265812,0.52
Rubiaceae,NA,Looks_like_Mapouria,Mapouria sp,28,0.5,8,7,7,205.2512,0.010531624,0.43
Rubiaceae,NA,Looks_like_Mapouria,Mapouria sp,28,0.5,8,8,9,301.5936,0.005265812,0.43
Rubiaceae,NA,Looks_like_Mapouria,Mapouria sp,28,0.5,7,8,8,234.5728,0.001755271,0.29
