btr_pwr,btr_life,mhz,cores,frontcam,backcam,px_h,px_w,cm_h,cm_w,rom,ram,thick,weight,dual_sim,bt,touch,wifi,4g,3g,class
842,19,2.2,2,1,2,20,756,9,7,7,2549,0.6,188,0,0,0,1,0,0,1
1021,7,0.5,3,0,6,905,1988,17,3,53,2631,0.7,136,1,1,1,0,1,1,2
563,9,0.5,5,2,6,1263,1716,11,2,41,2603,0.9,145,1,1,1,0,1,1,2
615,11,2.5,6,0,9,1216,1786,16,8,10,2769,0.8,131,0,1,0,0,0,1,2
1821,15,1.2,2,13,14,1208,1212,8,2,44,1411,0.6,141,0,1,1,0,1,1,1
1859,10,0.5,1,3,7,1004,1654,17,1,22,1067,0.7,164,1,0,0,0,0,1,1
1821,18,1.7,8,4,10,381,1018,13,8,10,3220,0.8,139,0,0,0,1,1,1,3
1954,5,0.5,4,0,0,512,1149,16,3,24,700,0.8,187,1,0,1,1,0,1,0
1445,20,0.5,7,0,14,386,836,17,1,53,1099,0.7,174,0,1,0,0,0,1,0
509,12,0.6,5,2,15,1137,1224,19,10,9,513,0.1,93,1,1,0,0,1,1,0
769,7,2.9,5,0,1,248,874,5,2,9,3946,0.1,182,1,1,0,0,0,0,3
1520,13,2.2,8,5,18,151,1005,14,9,33,3826,0.5,177,0,1,1,1,1,1,3
1815,2,2.8,4,2,17,607,748,18,0,33,1482,0.6,159,0,0,0,0,0,1,1
803,4,2.1,4,7,11,344,1440,7,1,17,2680,1.0,198,0,1,0,1,0,1,2
1866,3,0.5,1,13,17,356,563,14,9,52,373,0.7,185,0,0,0,1,1,1,0
775,11,1.0,2,3,16,862,1864,17,15,46,568,0.7,159,0,0,1,1,0,1,0
838,19,0.5,8,1,4,984,1850,10,9,13,3554,0.1,196,0,0,0,1,1,1,3
595,18,0.9,3,7,17,441,810,10,2,23,3752,0.1,121,1,0,1,0,1,1,3
1131,16,0.5,5,11,18,658,878,19,13,49,1835,0.6,101,1,1,1,0,0,1,1
682,18,0.5,4,4,11,902,1064,11,1,19,2337,1.0,121,0,1,1,1,0,0,1
772,3,1.1,7,12,14,1314,1854,17,15,39,2819,0.8,81,1,0,1,0,0,1,3
1709,15,2.1,2,1,2,974,1385,17,1,13,3283,1.0,156,0,1,0,0,0,1,3
1949,20,2.6,4,4,7,407,822,11,5,47,1433,0.3,199,1,0,0,1,0,0,1
1602,20,2.8,3,4,20,466,788,8,7,38,1037,0.7,114,1,1,0,0,1,1,0
503,12,1.2,3,5,13,201,1245,11,0,8,2583,0.4,111,1,0,0,0,1,1,1
961,7,1.4,8,0,3,291,1434,18,9,57,2782,0.6,114,1,1,1,1,1,1,2
519,4,1.6,4,7,19,550,645,16,1,51,3763,0.3,132,1,1,0,1,1,1,3
956,12,0.5,7,1,6,511,1075,17,8,41,3286,1.0,143,0,0,1,0,1,1,3
1453,10,1.6,2,12,18,187,1311,10,1,52,2373,0.3,96,1,0,1,1,1,1,2
851,10,0.5,5,3,7,1171,1263,12,7,21,478,0.4,200,0,0,0,1,0,1,0
1579,12,0.5,7,0,9,1358,1739,17,11,5,3532,0.2,88,1,1,0,1,0,0,3
1568,6,0.5,8,16,20,413,654,5,1,33,508,1.0,150,0,1,1,1,0,1,0
1319,3,0.9,1,3,18,85,1152,18,5,41,2227,0.9,107,0,1,1,1,1,1,1
1310,12,2.2,4,0,0,178,1919,7,0,51,3845,0.6,100,1,1,1,0,1,1,3
644,15,2.7,8,0,3,311,881,12,1,22,1262,0.7,157,0,1,0,0,0,1,0
725,15,1.3,8,16,17,1134,1249,10,4,60,1326,0.4,160,1,0,0,0,0,1,1
589,2,2.3,4,1,10,429,815,13,7,61,2113,0.6,160,1,1,0,1,0,1,1
1725,4,1.6,2,6,18,609,1307,6,5,6,3429,0.5,119,1,1,1,0,1,1,3
790,2,2.0,6,16,17,347,730,6,1,11,3169,0.3,87,1,0,0,1,1,1,2
560,11,0.5,2,15,20,1448,1613,18,12,50,2150,0.3,159,1,0,1,0,0,1,2
1347,11,2.9,1,5,14,434,967,18,2,44,2484,0.6,132,0,0,0,1,0,1,2
1646,19,2.3,2,8,10,1725,1932,18,10,41,3339,0.2,185,0,1,1,0,1,1,3
1253,4,0.5,2,5,19,685,714,15,0,5,1878,0.2,152,1,1,1,0,1,1,1
1656,14,1.0,3,5,7,880,1456,15,12,34,1629,0.1,166,0,0,1,0,1,1,1
1195,12,2.8,2,1,14,1580,1652,9,3,20,504,0.8,110,0,1,1,0,1,1,0
1514,20,2.9,3,0,1,186,1810,8,3,27,1152,0.2,118,0,0,1,1,0,0,1
1723,3,1.1,8,1,14,202,1791,10,5,42,3587,1.0,164,1,1,0,0,0,1,3
1054,12,1.8,7,3,10,27,774,16,12,40,2296,0.8,196,1,1,0,1,1,1,1
578,5,2.6,8,2,8,1025,1433,15,3,57,1270,0.2,162,1,1,0,1,1,1,0
596,10,2.1,8,9,15,885,1854,16,13,64,3238,0.8,111,1,0,0,0,0,0,3
1547,15,3.0,3,2,19,1042,1832,5,0,14,2059,0.7,198,1,1,0,1,1,1,2
1760,16,1.4,8,5,19,1382,1383,19,12,63,2053,0.8,127,1,0,1,0,0,0,2
1654,10,1.5,2,0,0,546,629,12,5,43,3112,0.3,109,1,1,1,0,1,1,3
1457,12,1.9,3,1,10,1013,1287,17,8,16,1440,0.3,102,1,0,0,1,1,1,1
